Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
Date	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21
Start Time	09:37:06	09:39:24	09:41:39	09:43:54	09:46:09	09:48:24	09:50:39	09:52:54	09:55:09	09:57:24	09:59:39	10:01:54	10:04:09	10:06:24	10:08:39	10:10:54	10:13:09	10:15:24	10:17:39	10:19:54	10:22:09	10:24:24	10:26:39	10:28:54	10:31:09	10:33:24	10:35:39	10:37:54	10:40:09	10:42:24	10:44:39	10:46:54	10:49:09	10:51:24	10:53:39	10:55:54	10:58:09	11:00:24	11:02:39	11:04:54	11:07:09	11:09:24	11:11:39	11:13:54	11:16:09	11:18:24	11:20:39	11:22:54	11:25:09	11:27:24	11:29:39	11:31:54	11:34:09	11:36:25	11:38:40	11:40:55	11:43:10	11:45:25	11:47:40	11:49:55	11:52:10	11:54:25	11:56:40	11:58:55	12:01:10	12:03:25	12:05:40	12:07:55	12:10:10	12:12:25	12:14:40
Diameter Midpoint
 18.8	16623.2	66061.1	49334	10497.8	4870.41	4735.74	5492.67	14445.8	11369.1	40291.4	8883.84	32354.1	34525.5	28061.5	22081.2	25157.9	20875.2	20840.5	24082.7	20287.5	31780.8	27394.1	23733.6	8838.71	13754.2	16035.6	12195.2	14680.5	14207.2	15064.2	17031	10328.5	17000.2	12444.3	15153.7	16627	13550.3	18659.3	16816.6	14545.8	15382.5	17788	13585	21777.3	15482.5	20152.9	16443.4	20322.2	21044.5	24874.3	926.227	3899.05	3107.49	1175.28	5876.39	4317.39	4870.41	6498.66	7424.88	4770.36	10024.5	7639.31	10781.4	9018.51	11956.7	9053.13	9357.1	7051.67	10193.8	16070.2	12026
 19.5	11353.1	66379.2	57501.2	5676.53	6124.36	10975.9	9049	28887.1	14829.6	45953.9	9119.64	27818.7	32240.1	29745.6	26903.6	23244.1	27785.3	26907.3	24790	29592.3	31452.3	29401.9	25738.6	9997.59	10598.7	11009.3	14762.7	13556.8	14314.9	16756.5	14228.5	17357.6	18412	17601	20610.2	20372.4	19834.4	15226.3	13851.3	20215.3	14091	12989.1	23430.8	13246.5	19146.9	19924.5	17754.3	23434.5	24155.5	26803.3	567.653	5299.34	6124.36	5676.53	7947.14	9049	8618.88	3596.39	8361.52	11510.1	7450.13	6244.18	10632.1	9496.83	9720.74	8104.16	13350.6	9082.44	14262	10975.9	8982.1
 20.2	11051.3	69868.6	61936.8	13005.5	9437.45	5660.8	9715.44	30311.6	14240.7	57079.4	12680.3	26852.4	44599.5	22249.5	20859.6	28188.3	24898.2	25384.9	33185	36228.2	39850.2	29555.3	30713.6	9282.85	16650.4	11537.9	12356.6	16225.4	17021.3	12534	14395.3	16063.2	19237.4	27400.8	17191	22704.9	10418.4	18418.8	25539.5	15483.7	21075.9	19037.1	21801.7	17260.4	23075.8	25794.6	23995	20998.2	21894.6	22504.6	2193.34	6912.06	4347.83	4780.43	5722.5	4935.02	5621.95	4409.54	7089.51	7305.81	9066.56	12147.9	6695.77	7244.1	10163.2	5815.39	12379.4	14341.3	13607.8	15530.8	14341.3
 20.9	16369.6	68903.2	60063.4	9683.7	7945.31	9154.02	8110.15	39636.6	12116.6	58222.1	13109.8	37572.6	43986.8	20607.1	25271.5	24146	29879.5	26598.5	36961.3	28948.3	31596.7	31365.7	29442.8	9699.21	11088.3	10907.9	9185.03	17182.5	16204.8	19990.1	17341.7	22890.7	19728.1	16431.7	17145.8	15079.2	23321.7	24052.9	22725.9	20736.8	21486.2	18267.2	26978.9	27673.4	21286.2	23635.9	27524.1	25523.7	21975.1	23137.2	1589.06	6885.93	6505.58	7580.46	9833.04	5842.07	8243.98	6654.92	11802.5	8125.66	8125.66	8923	8552.53	7446.63	9185.03	9565.38	17429	12147.6	12759	17114.8	16914.8
 21.7	15505.7	65911.8	71708.3	8019.58	5122.64	9220.75	7492.32	56852.6	11254.8	65180.5	14304.6	36643.7	35978.8	29336.9	26889.5	32165	28510.1	30346.4	34426.8	33234.5	40565.2	37315	34894.1	11934.9	19756.7	16536.4	16018	15335.3	16368.6	19870.7	23977.6	17195.3	20925.2	18174.9	25903.8	17042.5	18753.3	18264.9	23357.5	23120.9	20808.5	27195.2	24879.3	24352	17554.8	25229.9	27090	27782.4	24819.3	23998.8	1536.79	3241.4	4265.92	8004.59	5634.9	9885.83	5290.45	8355.21	6314.98	12255.5	5772.72	5458.26	9313.58	10215.3	12600	13456.7	12591.1	10712.5	13273.9	19777.8	15826.4
 22.5	14331.6	76583.8	70734.2	9594.03	7247.05	7439.22	3642.65	68366	11710.6	55492.5	16102.1	41909.8	47159.1	20475.2	31709.5	27629	30039.5	30344.6	38953.9	39147.4	49024	35581.3	35593.9	14827.6	12377.5	20595.3	18603	17486.9	20869.4	18367.2	18966.2	21224	25645.2	28390.5	22600.3	26730.3	17649.3	20039.9	24311.3	26162.3	23113.3	23802.7	24503.5	26791	21690.3	24259.1	23229	27881.9	23927	23549.8	991.896	5292.96	7084.58	4442.37	5951.38	9372.14	6284.86	10868.5	9068.37	14502.6	8876.19	9513.44	13036	12206.5	12681.3	13947.3	10817.7	10030.6	13998.1	15281.2	15029.6
 23.3	14664.6	69350.2	69734.1	9435.06	7388.22	9010.86	9491	64032.2	15070.5	55059.1	17013.2	39512.2	47298.7	33572.4	22603	28997.3	29805.4	33084.3	41883.2	37387.4	37055.6	39192.2	29827.5	12319.8	16879.2	19540.2	17027.6	13648.3	16183	17765.3	19298.2	18821.9	24051.4	26288.1	22715.1	17913.7	18762.1	28074.7	33062.2	24657.8	26924.5	23589.4	22257.1	24955.7	27426.8	23139.3	20612.3	24609.5	32105.8	26816.5	2400.72	5281.59	5835.9	7812.42	6722.02	7038.19	5225.65	5966.01	9196.91	7886.59	5653.7	8128.59	9621.11	9677.06	9919.05	10291.2	14556.5	13760.2	16585.1	19358	16443.2
 24.1	18489.4	73764	72815.1	9949.9	9325.04	8043.9	8571.73	87784.4	13029.1	60152.3	15861.2	30615.4	46076.8	31033.8	28729.6	29860.6	33123.4	31949	42954.5	39982.4	40003.7	35438.4	42900.6	13610.9	18693.2	21310.6	18705.2	16432.1	18285.7	18251.9	18586.4	19006.4	26564.4	16561.7	24357.2	23097.8	22214.9	26598.1	29246.6	17725.2	28030.2	21697.9	30291.4	23969.9	28482.4	27911.5	21008.2	25638.3	24045.6	29021.1	1852.05	6546.98	7117.88	6600.92	8528.65	6999.12	6137.91	6708.82	11748	8560.86	8797.22	10025.6	10014.7	17304.1	8851.17	13212.7	16442.9	19167	16378.1	21665.7	25811.1
 25.0	12233.3	75776.6	78381.3	11521	7752.38	7474.24	10730.3	84926.8	12869.9	62649.2	12485.1	43223.6	41974.2	28376.6	20883.1	29897	34202.6	31308.8	27736.2	35981.9	45056.8	42124.5	36622.3	16125.9	12763.2	19425.6	16280.1	17987.4	25577.3	24221.3	21395.6	16043.7	20513.7	19724.9	21477.8	27410.5	19723	26046.2	23367.6	20048.7	18293.8	26982	27564.7	29273.9	23131.3	28763.3	26423.8	31091.7	29426.2	23176.9	899.273	6125.34	8095.38	5504.2	7904.63	8992.73	5675.7	7645.75	7752.38	7752.38	11240.9	8803.9	10387.3	10728.3	9678.74	12744	16468.9	13321.4	19058.2	21010.9	18782
 25.9	13166.7	83850.3	74710.4	9733.63	7090.84	8937.55	12969.3	86655.7	14712.4	70731.8	15164.3	41254.7	41852.6	31109.8	29232.4	33377.7	30116.4	38184.9	33170.5	28452.1	36250.3	36588.6	35568.6	17245.7	14472.7	16195.1	23389.6	20757.6	21272.5	19898.4	21366.2	16283.8	19784.9	26531.5	20939.1	20653.9	26079.6	24435.2	28737.3	18072.5	28457.1	28826.1	29326.1	21542.8	24940.3	27254.6	28384.1	22973.3	27484.4	30907.5	0	5878.48	5711.79	3766.41	4807.12	7257.53	7189.51	7381.89	7184.55	7356.2	11721.3	13547.3	9806.61	13469.4	13068	13042.3	15258	15960.4	16298.7	25236.3	17021
