Start Time	14:16:57	14:19:16	14:21:31	14:23:46	14:26:01	14:28:16	14:30:31	14:32:46	14:35:01	14:37:16	14:39:31	14:41:46	14:44:01	14:46:16	14:48:31	14:50:46	14:53:01	14:55:16	14:57:31	14:59:46	15:02:01	15:04:16	15:06:31	15:08:46	15:11:01	15:13:16	15:15:31	15:17:46	15:20:01	15:22:16	15:24:31	15:26:46	15:29:01	15:31:16	15:33:31	15:35:46	15:38:01	15:40:16	15:42:31	15:44:46	15:47:01	15:49:16	15:51:31	15:53:46	15:56:01	15:58:16	16:00:31	16:02:46	16:05:01	16:07:16	16:09:31	16:11:46	16:14:01	16:16:16
Diameter Midpoint
 10.6	839626	933159	649845	1.04025e+006	970510	577547	708587	561431	1.08024e+006	967951	911769	1.01615e+006	1.22995e+006	1.17385e+006	780807	1.3396e+006	1.03498e+006	989263	1.17656e+006	1.06156e+006	1.62028e+006	1.06164e+006	1.78084e+006	1.09891e+006	927886	1.10419e+006	1.24871e+006	820873	1.206e+006	1.08024e+006	799483	1.49211e+006	930522	898367	1.2112e+006	1.43849e+006	1.0776e+006	1.00809e+006	1.08551e+006	1.16045e+006	1.15238e+006	1.15509e+006	1.30225e+006	951912	644572	1.4171e+006	1.15765e+006	1.19252e+006	1.13913e+006	879614	836912	965237	735391	1.07496e+006
 10.9	732202	781613	1.13755e+006	841932	716619	544103	718892	933805	1.0662e+006	1.27871e+006	1.17132e+006	1.41051e+006	1.1893e+006	1.01912e+006	1.2043e+006	1.1893e+006	998735	1.20501e+006	1.23391e+006	1.25832e+006	954129	1.41973e+006	1.24501e+006	1.10392e+006	1.08119e+006	1.26774e+006	1.32572e+006	1.21599e+006	1.04347e+006	1.31474e+006	886732	1.37734e+006	994124	1.05918e+006	1.13528e+006	1.03646e+006	1.1556e+006	718827	750252	1.30533e+006	1.09061e+006	1.11022e+006	1.00341e+006	1.25832e+006	1.31636e+006	1.37279e+006	1.14865e+006	1.02315e+006	978347	693893	911079	996527	1.08827e+006	1.1556e+006
 11.3	1.14583e+006	895912	890754	1.12841e+006	845625	668176	949793	855910	1.35417e+006	1.26388e+006	1.64091e+006	1.19968e+006	1.0294e+006	1.10703e+006	1.25635e+006	1.60409e+006	1.35893e+006	1.39261e+006	819088	1.32091e+006	1.48883e+006	1.58151e+006	1.41516e+006	1.10502e+006	1.19138e+006	1.22347e+006	1.14862e+006	1.5732e+006	1.51102e+006	1.20604e+006	1.21e+006	1.00206e+006	1.40685e+006	1.23573e+006	1.36208e+006	1.19851e+006	960078	1.1082e+006	1.03771e+006	1.49674e+006	1.00682e+006	1.12205e+006	1.72649e+006	1.16919e+006	1.28841e+006	979478	1.13435e+006	1.12604e+006	982264	1.13515e+006	1.22505e+006	1.20169e+006	839659	1.09276e+006
 11.8	932533	934757	976229	828758	1.13761e+006	899267	990388	1.15271e+006	1.17022e+006	1.30854e+006	1.3414e+006	1.66444e+006	1.14315e+006	1.62917e+006	1.62381e+006	1.15647e+006	1.56508e+006	1.1673e+006	1.38638e+006	1.55775e+006	1.10237e+006	1.23584e+006	1.20392e+006	1.15161e+006	1.10015e+006	1.53206e+006	1.29968e+006	1.33382e+006	1.43161e+006	1.10015e+006	1.18506e+006	1.58463e+006	1.16022e+006	1.12943e+006	1.0853e+006	1.26732e+006	1.2385e+006	1.18353e+006	1.1139e+006	1.39593e+006	1.34713e+006	1.06491e+006	1.32784e+006	1.11612e+006	1.12455e+006	1.41523e+006	1.13429e+006	1.33382e+006	1.49946e+006	1.24668e+006	1.3019e+006	1.20921e+006	1.02744e+006	1.01191e+006
 12.2	876492	797449	969617	988405	1.21199e+006	1.06422e+006	775570	1.09903e+006	1.23615e+006	1.1746e+006	1.09594e+006	1.31624e+006	1.54638e+006	1.31414e+006	1.24276e+006	1.27923e+006	1.23282e+006	1.52779e+006	1.2927e+006	1.51338e+006	1.42711e+006	1.4378e+006	1.25222e+006	1.31662e+006	1.12733e+006	1.17794e+006	1.64051e+006	1.62838e+006	1.49602e+006	1.39899e+006	1.46506e+006	1.63784e+006	1.2927e+006	1.48161e+006	1.32447e+006	1.14568e+006	1.1154e+006	1.48279e+006	1.18659e+006	1.54923e+006	1.32946e+006	1.41388e+006	1.71028e+006	1.05242e+006	964860	1.62709e+006	1.44423e+006	1.1728e+006	1.21817e+006	1.53816e+006	1.17732e+006	1.34634e+006	1.02888e+006	1.29041e+006
 12.6	1.24262e+006	1.12856e+006	809040	1.00817e+006	1.08699e+006	978043	1.04977e+006	1.37905e+006	1.09269e+006	1.6936e+006	1.26421e+006	1.2125e+006	1.22451e+006	1.43589e+006	1.28651e+006	1.55969e+006	1.36704e+006	1.71478e+006	1.24285e+006	1.49901e+006	1.14193e+006	1.35614e+006	1.57229e+006	1.39162e+006	1.43264e+006	1.39107e+006	1.51542e+006	1.28977e+006	1.57074e+006	1.43644e+006	1.39449e+006	1.32927e+006	1.57686e+006	1.07877e+006	1.58106e+006	1.33536e+006	1.52135e+006	1.52072e+006	1.38802e+006	1.56636e+006	1.61521e+006	1.36417e+006	1.63007e+006	1.43741e+006	1.68771e+006	1.3468e+006	1.32714e+006	1.52917e+006	1.26821e+006	1.43609e+006	1.24685e+006	1.33533e+006	1.22909e+006	1.49901e+006
 13.1	1.21498e+006	1.1466e+006	1.31504e+006	1.14986e+006	1.14747e+006	1.03364e+006	1.37176e+006	1.17016e+006	1.476e+006	1.69467e+006	1.38343e+006	1.4848e+006	1.70848e+006	1.47265e+006	1.57035e+006	1.45317e+006	1.44933e+006	1.89169e+006	1.41985e+006	1.72874e+006	1.68422e+006	1.48423e+006	1.48079e+006	1.31322e+006	1.71497e+006	1.64188e+006	1.68343e+006	1.29325e+006	1.60842e+006	1.59222e+006	1.72812e+006	1.74198e+006	1.59387e+006	1.64444e+006	1.56861e+006	1.37607e+006	1.824e+006	1.57418e+006	1.42878e+006	1.51743e+006	1.75152e+006	1.44189e+006	1.50113e+006	1.5629e+006	1.60359e+006	1.50936e+006	1.35634e+006	1.15714e+006	1.62724e+006	1.1743e+006	1.36701e+006	1.62401e+006	1.37176e+006	1.50998e+006
 13.6	1.15899e+006	1.11361e+006	1.06865e+006	1.23867e+006	1.1229e+006	1.21412e+006	1.26222e+006	1.12994e+006	1.66721e+006	1.70112e+006	1.69897e+006	1.44944e+006	1.65184e+006	1.88238e+006	1.29919e+006	1.41289e+006	1.41369e+006	1.69205e+006	1.67257e+006	1.67294e+006	1.66778e+006	1.64755e+006	1.86116e+006	1.84698e+006	1.48114e+006	1.73866e+006	1.76195e+006	1.4403e+006	1.81482e+006	1.43636e+006	1.72723e+006	1.82636e+006	1.80358e+006	1.567e+006	1.55798e+006	1.36108e+006	1.54272e+006	1.65636e+006	1.57381e+006	1.9473e+006	1.53168e+006	1.63318e+006	2.0922e+006	1.63911e+006	1.21726e+006	1.65849e+006	1.48466e+006	1.42972e+006	1.89656e+006	1.42218e+006	1.54957e+006	1.66319e+006	1.18117e+006	1.41535e+006
 14.1	1.30868e+006	1.18824e+006	1.22538e+006	1.29704e+006	1.30024e+006	1.13656e+006	1.1729e+006	1.30532e+006	1.72279e+006	1.60538e+006	1.67008e+006	1.64845e+006	1.5927e+006	1.77112e+006	1.76346e+006	1.91732e+006	1.83178e+006	1.68377e+006	1.75226e+006	1.46065e+006	1.74486e+006	1.78404e+006	1.8621e+006	1.72547e+006	1.56255e+006	1.80989e+006	1.89035e+006	1.88277e+006	1.67662e+006	1.34882e+006	1.7364e+006	1.86193e+006	1.37389e+006	1.74855e+006	1.7974e+006	1.86994e+006	1.88434e+006	1.72812e+006	1.55774e+006	1.69196e+006	1.61347e+006	1.91964e+006	1.74484e+006	1.52459e+006	1.7551e+006	1.74787e+006	1.61407e+006	1.50629e+006	1.68876e+006	1.53275e+006	1.85546e+006	1.60219e+006	1.50725e+006	1.81117e+006
 14.6	1.06479e+006	1.17743e+006	1.23915e+006	1.25119e+006	1.33679e+006	1.12368e+006	1.23509e+006	1.3916e+006	1.8051e+006	1.62226e+006	1.66546e+006	2.01572e+006	1.9015e+006	1.59296e+006	1.98724e+006	1.39945e+006	1.93274e+006	1.73437e+006	1.94813e+006	1.86221e+006	1.9284e+006	1.69393e+006	1.96e+006	1.69059e+006	1.9115e+006	2.14876e+006	1.53611e+006	1.81387e+006	1.98581e+006	1.64765e+006	1.92812e+006	2.0413e+006	1.85652e+006	1.92339e+006	1.84413e+006	1.77497e+006	1.93681e+006	1.96984e+006	1.69861e+006	2.27313e+006	1.84643e+006	1.72458e+006	2.00198e+006	1.81473e+006	1.54704e+006	1.79323e+006	1.44816e+006	1.65441e+006	1.99971e+006	1.37216e+006	1.77862e+006	1.88572e+006	1.47601e+006	1.43322e+006
