Start Time	09:34:40	09:36:58	09:39:13	09:41:28	09:43:43	09:45:58	09:48:13	09:50:28	09:52:43	09:54:59	09:57:14	09:59:29	10:01:44	10:03:59	10:06:14	10:08:29	10:10:44	10:12:59	10:15:14	10:17:29	10:19:44	10:21:59	10:24:14	10:26:29	10:28:44	10:30:59	10:33:14	10:35:29	10:37:44	10:39:59	10:42:14	10:44:29	10:46:44	10:48:59	10:51:14	10:53:29	10:55:44	10:57:59	11:00:14	11:02:29	11:04:44	11:06:59	11:09:14	11:11:29	11:13:44	11:15:59	11:18:14	11:20:29	11:22:44	11:24:59	11:27:14	11:29:29	11:31:44	11:33:59	11:36:14	11:38:29	11:40:44	11:42:59	11:45:14	11:47:29	11:49:44	11:51:59	11:54:14	11:56:29	11:58:44	12:00:59	12:03:14	12:05:29	12:07:44	12:09:59	12:12:14	12:14:29	12:16:44	12:18:59	12:21:14	12:23:29	12:25:44	12:27:59	12:30:14
Diameter Midpoint
 10.6	0	0	0	0	0	37428.7	0	74857.5	0	0	37428.7	0	34792	0	0	0	0	0	0	37428.7	0	0	0	0	0	0	0	37428.7	112286	0	37428.7	37428.7	0	0	37428.7	0	0	0	74857.5	74857.5	37428.7	74857.5	37428.7	37428.7	0	0	0	0	37428.7	0	0	0	0	18753	0	0	0	0	0	0	0	0	0	0	37428.7	0	0	34792	37428.7	0	0	37428.7	0	0	0	34792	0	0	0
 10.9	0	0	0	0	0	94081.9	62721.2	0	62721.2	0	0	29022.9	0	31360.6	31360.6	0	31360.6	31360.6	0	0	31360.6	0	31360.6	0	0	31360.6	0	0	0	0	0	0	0	62721.2	0	0	0	31360.6	0	0	0	31360.6	0	0	31360.6	0	0	0	0	0	0	0	0	15647.9	0	31360.6	0	29022.9	0	0	0	0	0	0	62721.2	0	31360.6	31360.6	0	31360.6	31360.6	0	31360.6	0	0	0	0	31360.6	0
 11.3	0	0	0	0	0	159219	26536.5	0	0	0	26536.5	1978.16	53073	0	0	0	26536.5	26536.5	26536.5	26536.5	0	53073	26536.5	26536.5	0	53073	26536.5	26536.5	0	0	0	0	26536.5	26536.5	0	0	0	0	26536.5	0	0	0	0	0	0	0	0	0	26536.5	0	0	0	0	0	0	0	0	1978.16	0	0	9114.63	0	26536.5	26536.5	0	0	53073	0	0	0	0	0	0	0	0	0	0	26536.5	0
 11.8	0	0	0	0	0	67846.7	67846.7	22615.6	22615.6	0	17071.2	0	45231.2	0	0	0	0	17071.2	22615.6	0	0	45231.2	17071.2	22615.6	0	0	0	0	22615.6	0	0	0	22615.6	0	0	0	45231.2	0	0	0	22615.6	45231.2	0	0	0	0	22615.6	0	22615.6	0	0	0	0	22615.6	0	22615.6	0	0	22615.6	0	37463.3	0	0	22615.6	0	22615.6	0	0	0	0	22615.6	0	22615.6	0	0	22615.6	0	0	0
 12.2	0	0	0	0	0	38809.4	100114	19404.7	0	22495.7	4757.24	0	58214.1	19404.7	19404.7	0	0	4757.24	0	0	0	38809.4	4757.24	3091.01	0	0	0	19404.7	0	0	0	0	0	0	0	19404.7	0	0	0	19404.7	0	0	19404.7	38809.4	19404.7	3091.01	0	0	0	0	19404.7	0	0	0	0	0	19404.7	0	19404.7	0	19404.7	19404.7	0	0	0	0	0	0	0	0	0	0	0	19404.7	0	0	0	0	19404.7
 12.6	0	0	0	0	0	67151.7	47689.6	0	0	14113.7	16787.9	0	93283.1	0	0	0	0	0	0	0	16787.9	0	0	14113.7	0	0	0	16787.9	16787.9	16787.9	16787.9	0	0	16787.9	0	0	16787.9	16787.9	16787.9	0	0	0	0	0	0	14113.7	16787.9	16787.9	16787.9	0	0	16787.9	0	0	16787.9	0	0	0	0	16787.9	0	16787.9	16787.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 13.1	0	0	0	14636.4	0	146364	73181.9	43909.1	14636.4	0	0	0	34978	14636.4	14636.4	14636.4	0	0	0	0	0	0	0	0	0	14636.4	29272.7	0	14636.4	0	0	14636.4	0	0	0	0	0	0	0	13851.2	0	0	0	0	0	0	0	14636.4	0	14636.4	14636.4	0	14636.4	0	0	14636.4	0	14636.4	0	0	0	0	0	14636.4	0	0	0	0	0	0	0	0	14636.4	0	0	14636.4	14636.4	0	0
 13.6	0	0	0	0	0	55436.6	12807.7	12807.7	4205.98	12807.7	25615.3	0	39110	0	12807.7	12807.7	12807.7	0	0	0	0	0	12807.7	0	0	0	0	0	0	0	0	0	0	25615.3	12807.7	0	38423	12807.7	0	687.04	12807.7	0	12807.7	0	12807.7	0	12807.7	0	0	0	0	0	12807.7	12807.7	0	0	0	12807.7	0	0	0	0	0	0	0	0	0	0	0	12807.7	0	0	25615.3	12807.7	0	12807.7	12807.7	0	0
 14.1	0	0	0	0	0	128361	90283.9	67712.9	18864.9	22571	0	22571	33856.5	22571	22571	0	0	0	0	11285.5	0	0	0	0	0	0	0	11285.5	0	0	0	0	11285.5	0	0	0	0	0	0	0	0	0	0	7926.57	11285.5	0	0	0	11285.5	0	0	0	11285.5	0	0	0	0	0	0	22571	11285.5	0	0	0	0	0	0	0	0	0	0	0	0	22571	0	0	0	0	0
 14.6	0	0	0	0	0	64287.2	29977.5	0	0	0	9992.49	10671.6	49962.5	49962.5	0	0	0	0	0	0	9992.49	679.078	0	0	0	9992.49	0	0	0	0	0	0	0	9992.49	9992.49	9992.49	0	0	9992.49	0	0	9992.49	0	2974.08	0	0	9992.49	0	0	0	0	679.078	0	0	0	9992.49	0	0	0	0	679.078	0	0	0	0	0	0	0	9992.49	0	0	0	0	0	0	0	0	0	0
 15.1	0	0	0	0	0	38180.2	35608.3	8902.06	8902.06	12684	8902.06	17199.2	26706.2	8902.06	8902.06	0	0	0	0	0	0	17199.2	3781.92	0	0	0	0	0	0	0	0	0	8902.06	0	0	0	0	0	0	8902.06	0	0	0	0	8902.06	0	8902.06	0	8902.06	8902.06	0	8297.09	8902.06	8902.06	0	0	0	0	0	0	8297.09	0	8902.06	0	0	0	0	8902.06	0	0	0	0	0	0	0	0	0	0	0
 15.7	0	0	0	0	0	84221.1	23892.1	31856.2	15928.1	12544.7	7964.05	14117.5	76019.3	0	0	0	0	0	0	0	0	7964.05	20508.7	7964.05	0	0	6153.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15928.1	0	7964.05	0	7964.05	0	0	0	7964.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7964.05	0	0	0	0	0	0	0	0
 16.3	0	0	0	0	0	65173.6	51661.6	21459.7	28612.9	7153.24	7153.24	1626.24	54119.6	7153.24	794.46	7153.24	0	7153.24	14306.5	7153.24	7153.24	0	0	0	0	0	1626.24	0	794.46	7153.24	0	0	0	0	0	0	0	7153.24	0	0	0	0	0	0	0	7153.24	0	0	0	14306.5	0	0	0	0	0	0	0	7153.24	0	0	7153.24	0	0	0	7947.7	7153.24	0	0	0	0	0	0	0	0	0	0	0	0	0
 16.8	0	0	0	0	0	91629.4	50160.6	35081.3	19347.4	2835.59	12898.3	0	102470	12898.3	5732.88	0	0	0	0	0	0	0	0	0	0	0	0	0	12182	0	0	2835.59	0	0	0	6449.14	0	0	6449.14	0	0	0	0	6449.14	0	0	0	0	0	0	6449.14	0	6449.14	0	0	0	0	0	0	0	0	0	0	6449.14	5732.88	6449.14	0	0	0	0	0	0	2835.59	0	0	0	6449.14	0	0
 17.5	0	0	0	0	0	78523.3	40900.4	77818.5	11685.8	13546.5	11685.8	5842.91	70114.9	29214.5	5842.91	0	5842.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3273.88	0	0	0	0	0	5842.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5842.91	0	0	4429.7	0	0	0	0	3273.88	0	5842.91	0	4429.7	0	0
 18.1	0	0	0	0	0	92272.3	95597.7	11906.5	10622	11906.5	5661.54	0	91338.3	10972.5	0	5310.98	0	0	5310.98	0	10622	0	10622	0	0	0	0	0	0	0	5310.98	0	0	0	0	0	0	0	0	0	0	0	0	5310.98	5310.98	0	0	350.559	0	0	0	0	0	0	0	0	0	0	5310.98	0	0	5310.98	5310.98	0	0	0	0	1284.55	0	0	0	0	0	0	0	0	1284.55	0	0
 18.8	0	0	0	0	0	78695.8	40547.7	40547.7	24242.6	14545.6	14225.5	19394.1	92921.4	28771.1	9697.05	0	9697.05	0	0	0	0	0	0	0	0	4848.53	4848.53	0	0	4848.53	0	4848.53	0	0	0	4848.53	0	0	0	0	0	4848.53	0	0	0	4848.53	0	9377.02	0	4848.53	0	0	0	0	0	4848.53	0	0	0	0	0	0	0	0	4848.53	0	0	0	0	0	4848.53	0	0	0	0	0	0	0	0
 19.5	0	0	0	0	0	122437	64973.8	67851.8	4438.98	25072.9	17755.9	8877.96	118242	8877.96	4438.98	8877.96	0	0	4438.98	0	0	0	0	0	0	0	0	0	0	0	2877.97	0	0	0	0	0	0	0	4438.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4438.98	0	0	0	0	0	0	0	0	4438.98	0	0	0	0	0	4438.98	0	0	0	0	0	0	0	0	0
 20.2	0	0	0	0	0	93313.8	109390	25565.1	15982	21808.3	20057	8150.1	113465	20375.3	8150.1	0	4075.05	0	0	4075.05	0	4075.05	0	0	0	0	0	0	0	0	1433.03	0	0	0	0	8150.1	4075.05	0	0	0	0	0	0	0	0	0	0	4075.05	0	0	0	4075.05	0	0	0	0	4075.05	0	0	0	4075.05	3756.84	4075.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 20.9	0	0	0	0	0	121336	122045	55197	7232.24	14522.5	33812.8	3730.28	103941	10188.1	2721.28	3217.27	0	0	0	0	0	0	0	0	0	661.077	0	0	0	0	3750.62	0	0	0	0	0	0	0	0	3750.62	0	0	0	3750.62	0	0	0	0	0	0	0	0	0	3750.62	0	3750.62	0	0	0	0	0	7794.11	3750.62	0	0	0	0	0	0	0	0	0	3750.62	0	0	0	0	3750.62	0
 21.7	0	0	3463.27	0	0	95632.7	87168.2	67437.4	22877.1	9783.01	8826.12	7109.55	105272	31610.5	9467.89	2761.4	0	0	3412.73	3376.57	3394.79	0	0	0	0	2828.94	0	0	0	0	0	0	0	3464.31	0	0	0	0	0	0	3434.19	0	0	0	0	0	0	0	0	0	0	3464.31	0	0	0	0	1494.91	0	0	3433.58	3464.31	0	0	3464.31	0	0	3464.31	0	0	0	0	0	0	0	0	0	0	0	0
 22.5	0	0	0	0	0	117999	108564	51079.4	32245.6	18735.9	5019.81	11962.5	94747	22504.3	8574.62	5698.25	0	0	0	0	0	3196.45	3210.04	0	0	0	0	0	0	0	2134.78	3210.55	0	0	0	0	0	0	3210.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3210.55	5035.69	0	3210.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3210.55	0	0	0	0	0
 23.3	0	0	2946.64	2981	0	92934.3	67578.7	51735.4	24185.7	16781.9	18850.6	12050.4	117397	30661.2	13645.9	11041.7	5288.71	2729.15	2616.56	2863.74	0	0	2917.17	0	0	0	0	0	0	2627.8	3953.91	0	0	0	2981.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2981.67	2981.67	2975.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2981.67	0	0	0	0	0	0
 24.1	0	0	0	0	0	113153	78760.4	55701	28656.9	10341.8	14634.6	19041.8	129717	69677.4	29445	12520.8	2050.21	0	0	0	0	0	0	0	0	5526.31	0	0	2712.96	310.336	0	0	0	0	0	0	0	2763.09	0	0	0	2763.73	0	0	2729.4	0	0	2763.73	0	0	0	0	2763.73	0	2730.25	0	0	0	0	0	0	0	0	0	0	0	0	0	2763.73	0	0	0	0	0	0	0	0	0	0
 25.0	0	0	0	0	0	93013.5	145256	49912.9	23856.3	31934	17166.2	18201.3	215276	69256.5	14254.8	11139.1	5610.52	1712.84	0	2113.8	0	0	0	0	0	0	0	0	0	0	0	2559.27	0	0	2584.67	0	0	0	0	0	0	0	0	0	0	0	2584.67	2584.67	2583.49	0	0	2584.67	0	0	0	0	2584.67	0	0	0	0	0	0	2584.67	0	0	0	0	0	0	701.476	0	0	0	0	0	0	0	0
 25.9	0	0	0	0	0	93194.6	99905.8	63682.9	52018	26641.9	35151.7	20277.9	149325	33067.1	23816.5	8934.07	9401.86	3735.25	1891.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1120.49	0	0	0	0	0	0	2390.74	0	0	4845.21	0	0	0	0	0	0	0	0	2423.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1729.98	0	0	0	0	0	0	0	0
 26.9	2278.17	0	0	0	0	127613	141158	82149.2	45394.4	31392.2	32177.6	10720.3	141368	33248.9	12412.7	21633.6	10770.5	808.068	1722.53	0	0	0	2133.82	0	2211.64	0	0	0	0	0	0	2232.52	0	1224.08	0	0	0	0	2257.38	0	2222.74	0	0	0	2278.17	0	0	2278.17	0	0	0	0	2278.17	0	0	0	0	0	0	2278.17	2278.17	0	0	0	0	0	0	0	0	0	0	2278.17	0	0	0	0	0	0	2275.99
 27.9	0	0	0	4255.43	0	122657	125768	116821	47680.9	21529.3	42696.4	14805.6	106731	49595.3	15670.6	14202.8	15146.3	12564.2	7652.79	0	1799.98	0	0	0	0	0	0	0	2127.72	2085.95	2065.76	0	2008.32	0	0	0	0	0	0	2127.72	0	0	0	0	0	2113.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2127.72	0	0	0	0	0	0	0	0	0
 28.9	0	0	0	0	0	81783.9	149682	83581.6	35998.6	37276.2	53815.6	22171.7	171404	61975.8	31763.2	25418.9	18103.3	0	8653.74	6862.86	933.981	1269.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2009.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2009.74	0	0	0	0	0	0	0	2005.7	0	0	0	0	0	0	0	0	2009.74
 30.0	0	0	1883.58	0	0	87624.4	152260	89263.2	37011.2	31613.6	60765.1	46584.8	154706	70073.5	67803.3	35132.2	11490.3	14866	1724.3	1884.63	3930.86	978.416	0	0	0	1699.16	0	0	0	0	0	1849.71	0	0	0	0	0	1886.58	0	0	0	1837.61	0	0	0	1886.61	0	0	0	0	0	0	0	0	0	0	0	1850.36	0	0	0	0	0	0	0	0	0	0	1836.29	0	0	0	0	0	0	0	0	0	0
 31.1	0	0	0	1787.05	0	84867.6	136599	104808	51145.3	34506	52349.6	38080.7	168723	59673.1	51696.9	39808.9	24376.2	14462.2	2948.85	5049.32	3922.36	480.891	1286.94	0	0	0	0	1884.76	120.755	1746.83	1741.18	0	0	0	1762.94	0	0	0	0	0	1754.27	0	0	0	0	0	0	0	0	0	1789.74	0	0	0	0	0	0	0	0	1789.74	0	0	0	0	0	3562.73	0	0	3536.12	0	1789.74	0	0	0	0	0	0	0	0
 32.2	0	0	0	3402.19	0	106625	160250	122642	69275.5	26384.5	70905.9	28177.8	170857	90962.1	53236.5	36314	19835.9	16357.7	8281.55	4064.32	1067.6	714.396	0	0	1151.41	1026.17	0	1110.22	1247.24	0	232.415	0	0	0	1693.92	0	1696.28	0	0	0	0	0	0	0	0	0	0	0	0	0	1701.09	0	0	0	1645.95	0	0	0	0	0	0	0	1701.09	0	0	0	0	0	1685.4	0	0	0	0	0	0	0	0	0	0
